key,class_name,class_description
Externalizable_readExternal,externalizable,"only the identity of the class of an externalizable instance is written in the serialization stream and it is the responsibility of the class to save and restore the contents of its instances. the writeexternal and readexternal methods of the externalizable interface are implemented by a class to give the class complete control over the format and contents of the stream for an object and its supertypes. these methods must explicitly coordinate with the supertype to save its state. these methods supersede customized implementations of writeobject and readobject methods. object serialization uses the serializable and externalizable interfaces.  object persistence mechanisms can use them as well.  each object to be stored is tested for the externalizable interface. if the object supports externalizable, the writeexternal method is called. if the object does not support externalizable and does implement serializable, the object is saved using objectoutputstream.  when an externalizable object is reconstructed, an instance is created using the public no arg constructor, then the readexternal method called.  serializable objects are restored by reading them from an objectinputstream. an externalizable instance can designate a substitution object via the writereplace and readresolve methods documented in the serializable interface."
Certificate_getFormat,certificate,
Printer_println,printer,"simple interface for printing text, allowing redirection to various targets.  standard implementations are logprinter, stringbuilderprinter, and printwriterprinter."
ThumbnailUtils_createVideoThumbnail,thumbnail utils,utilities for generating visual thumbnails from files.
ClickableSpan_updateDrawState,clickable span,"if an object of this type is attached to the text of a textview with a movement method of linkmovementmethod, the affected spans of text can be selected. if selected and clicked, the onclick(view) method will be called."
PerformanceTestCase_isPerformanceOnly,performance test case,
ETC1Util_compressTexture,e t c1 util,utility methods for using etc1 compressed textures.
RecognitionListener_onReadyForSpeech,recognition listener,used for receiving notifications from the speechrecognizer when the recognition related events occur. all the callbacks are executed on the application main thread.
DynamicLayout_getLineContainsTab,dynamic layout,dynamiclayout is a text layout that updates itself as the text is edited.
AsyncQueryHandler_startInsert,async query handler,a helper class to help make handling asynchronous contentresolver queries easier.
CollectionCertStoreParameters_clone,collection cert store parameters,parameters used as input for the collection certstore algorithm.
HandshakeCompletedEvent_getPeerPrincipal,handshake completed event,"this event indicates that an ssl handshake completed on a given ssl connection.  all of the core information about that handshake's result is captured through an ""sslsession"" object.  as a convenience, this event class provides direct access to some important session attributes."
